,Unnamed: 0,Name,BoroCD,lat,long,American Human Development Index (Community District),Extreme Housing Burden (% of renters),Poverty (% in households with incomes below poverty),geometry,coordinates
0,Bronx CD 001,Mott Haven and Melrose,201,40.812197,-73.916132,3.522949823,31.893193087,42.45407084,polygon,"(40.812197, -73.916132, 40.814197, -73.916132, 40.812197, -73.91413200000001, 40.814197, -73.91413200000001)"
1,Bronx CD 002,Hunts Point and Longwood,202,40.811969,-73.882016,3.772949823,37.403890468,38.083242745,polygon,"(40.811969, -73.882016, 40.813969, -73.882016, 40.811969, -73.880016, 40.813969, -73.880016)"
2,Bronx CD 003,Morrisania and Crotona,203,40.831163,-73.902475,3.542770086,32.331719638,39.005303886,polygon,"(40.831163, -73.902475, 40.833163, -73.902475, 40.831163, -73.900475, 40.833163, -73.900475)"
3,Bronx CD 004,Highbridge and Concourse,204,40.836033,-73.921027,4.085939859,39.170852707,35.35233113,polygon,"(40.836033, -73.921027, 40.838033, -73.921027, 40.836033, -73.919027, 40.838033, -73.919027)"
4,Bronx CD 005,Fordham and University Heights,205,40.863496,-73.899778,3.657180725,40.550633417,39.697615043,polygon,"(40.863496, -73.899778, 40.865496, -73.899778, 40.863496, -73.897778, 40.865496, -73.897778)"
5,Bronx CD 006,Belmont and East Tremont,206,40.850026,-73.887367,3.709436753,39.539147739,40.474480213,polygon,"(40.850026, -73.887367, 40.852026, -73.887367, 40.850026, -73.885367, 40.852026, -73.885367)"
6,Bronx CD 007,Kingsbridge Heights and Bedford,207,40.887391,-73.905011,4.043900275,37.055079781,31.13728248,polygon,"(40.887391, -73.905011, 40.889391, -73.905011, 40.887391, -73.903011, 40.889391, -73.903011)"
7,Bronx CD 008,Riverdale and Fieldston,208,40.903935,-73.90441,5.677945477,28.153402669,17.589434947,polygon,"(40.903935, -73.90441, 40.905935, -73.90441, 40.903935, -73.90241, 40.905935, -73.90241)"
8,Bronx CD 009,Parkchester and Soundview,209,40.824549,-73.860283,4.722527831,32.777602265,27.747901435,polygon,"(40.824549, -73.860283, 40.826549, -73.860283, 40.824549, -73.858283, 40.826549, -73.858283)"
9,Bronx CD 010,Throgs Neck and Co-op City,210,40.874542,-73.829622,6.372101566,26.621320995,12.059134003,polygon,"(40.874542, -73.829622, 40.876542, -73.829622, 40.874542, -73.827622, 40.876542, -73.827622)"
10,Bronx CD 011,Morris Park and Bronxdale,211,40.861236,-73.852228,5.399949405,32.101886679,19.560425834,polygon,"(40.861236, -73.852228, 40.863236, -73.852228, 40.861236, -73.850228, 40.863236, -73.850228)"
11,Bronx CD 012,Williamsbridge and Baychester,212,40.887975,-73.854031,5.19965855,34.759431943,18.980952177,polygon,"(40.887975, -73.854031, 40.889975, -73.854031, 40.887975, -73.85203100000001, 40.889975, -73.85203100000001)"
12,Brooklyn CD 001,Greenpoint and Williamsburg,301,40.727054,-73.950969,7.236083333,27.084649925,26.735656899,polygon,"(40.727054, -73.950969, 40.729054000000005, -73.950969, 40.727054, -73.948969, 40.729054000000005, -73.948969)"
13,Brooklyn CD 002,Fort Greene and Brooklyn Heights,302,40.691855,-73.980817,8.29227232,18.574355274,15.54810609,polygon,"(40.691855, -73.980817, 40.693855, -73.980817, 40.691855, -73.978817, 40.693855, -73.978817)"
14,Brooklyn CD 003,Bedford Stuyvesant,303,40.688797,-73.941137,5.71863355,29.175459703,25.629185723,polygon,"(40.688797, -73.941137, 40.690797, -73.941137, 40.688797, -73.939137, 40.690797, -73.939137)"
15,Brooklyn CD 004,Bushwick,304,40.696671,-73.917806,5.062088585,33.466505621,26.401477155,polygon,"(40.696671, -73.917806, 40.698671000000004, -73.917806, 40.696671, -73.915806, 40.698671000000004, -73.915806)"
