21 Club	4	21 West 52nd Street, New York	40.7605396	-73.9774216
509 Pizzeria	1	1167 Boston Road, Bronx	40.8288488	-73.9034092
7-Eleven - Closed	1	1081 Leggett Avenue, Bronx	40.812396	-73.8955415
7-Eleven - CLOSED - Closed	1	645 East Tremont Avenue, Bronx	40.8460887	-73.8918899
AA	1	214 East Burnside Avenue, Bronx	40.8518146	-73.9031172
Allen's Restaurant	2	1201 Randall Avenue, Bronx	40.8117034	-73.8902284
Amor Cubano	2	2018 3rd Avenue, New York	40.7947646	-73.942666
Amy Ruth's	2	113 West 116th Street, New York	40.8025539	-73.9502679
Artichoke Basille's Pizza	2	111 MacDougal Street, New York	40.73	-74.0007278
Atomic Wings	1	2090 Frederick Douglass Boulevard, New York	40.8025144	-73.9565498
Ayada	2	7708 Woodside Avenue, Queens	40.7434891	-73.8876429
B2 Harlem	3	271 West 119th Street, New York	40.8061974	-73.9532341
Babbo	4	110 Waverly Place, New York	40.732296	-73.9992785
Balthazar	3	80 Spring Street, New York	40.722668	-73.9982298
Bar In Control	None	1215 Grand Concourse, Bronx	40.834958	-73.917863
Beckett's Bar & Grill	2	81 Pearl Street, New York	40.704129	-74.010336
Beyond Sushi	2	229 East 14th Street, New York	40.73292	-73.9858841
Billy's	2	856 River Avenue, Bronx	40.8270912	-73.9260254
Bistro New York	1	1285 6th Avenue, New York	40.7610718	-73.9803035
Blimpie America's Sub Shop	1	196 East 161 Street, Bronx	40.82626	-73.92159
Blue Fin	3	1567 Broadway, New York	40.7592186	-73.9853654
Bognan	2	590 East 169th Street, Bronx	40.8318303	-73.9026168
Boogie Down Grind	1	868 Hunts Point Avenue, Bronx	40.8184732	-73.888827
Boston Market	1	451 East 149th Street, Bronx	40.8155327	-73.9158091
bp	None	4353 Broadway, New York	40.85352	-73.934284
bp	None	350 Grand Concourse, Bronx	40.8155964	-73.9282613
bp	None	281 Bruckner Boulevard, Bronx	40.8054944	-73.9111622
Bravo	1	1473 Westchester Avenue, Bronx	40.8286043	-73.8814727
Brooklyn Bowl	2	61 Wythe Avenue, Brooklyn	40.7218813	-73.9573945
Brothers Seafood	1	632 Walton Avenue, Bronx	40.8212272	-73.9273017
Bryant Park Grill	2	25 West 40th Street, New York	40.7531999	-73.982957
burger joint	2	119 West 56th Street, New York	40.764215	-73.9785597
Burger King	1	961 East 174th Street, Bronx	40.8371549	-73.8849344
Burger King	1	1607 Westchester Avenue, Bronx	40.8295187	-73.8752338
Burger King	1	557 Grand Concourse, Bronx	40.8190183	-73.9273136
Burger King	1	216 East 161 Street, Bronx	40.8248899	-73.9210018
Bus Stop Diner	1	3341 Broadway, New York	40.8203471	-73.9552275
Cachapa Cachapa	1	1903 Bathgate Avenue, Bronx	40.8471821	-73.8971362
Cake N Wings	None	1012 Faile Street, Bronx	40.8237463	-73.8892025
Caribbean Grill	None	1294 Westchester Avenue, Bronx	40.8270358	-73.8864694
Caridad	None	1594 Westchester Avenue, Bronx	40.8289558	-73.8756355
Carmine's Italian Restaurant - Times Square	2	200 West 44th Street, New York	40.757498	-73.986654
Cestra's Pizza II	1	3240 3rd Avenue, Bronx	40.8237252	-73.9086802
Charles' Pan Fried Chicken	2	2461 Frederick Douglass Boulevard, New York	40.8146145	-73.9482674
Charlie's	None	1501 Saint Nicholas Avenue, New York	40.8520015	-73.9320616
Charlies Bar & Kitchen	2	112 Lincoln Avenue, Bronx	40.8078563	-73.9291873
Chart House	3	1700 Harbor Boulevard, Weehawken	40.7607	-74.0180351
Checkers	1	260 East 161 Street, Bronx	40.8255091	-73.9190921
Checkers	1	1203 Jerome Avenue, Bronx	40.8360593	-73.9228794
Checkers	1	1058 Southern Boulevard, Bronx	40.8245502	-73.8916148
Checkers	1	695 Saint Nicholas Avenue, New York	40.8239931	-73.9450502
China Garden Restaurant	1	1205 Stratford Avenue, Bronx	40.8295449	-73.875699
China New Wok	1	512 East 180th Street, Bronx	40.850835	-73.8946918
Chinese Fried Chicken	1	985 East 174th Street, Bronx	40.8365145	-73.8848514
Chinese Gourmet	1	1809 Cedar Avenue, Bronx	40.8526175	-73.9200799
Chipotle Mexican Grill	1	4009 Broadway, New York	40.8415008	-73.9398763
Chipotle Mexican Grill	1	260 East 161 Street, Bronx	40.8255424	-73.9190145
Chocolat Restaurant & Bar	2	2223 Frederick Douglass Boulevard, New York	40.8069848	-73.9538378
Chop Chop	2	501 West 184th Street, New York	40.8501832	-73.9297252
Chuck E. Cheese	2	700 Exterior Street, Bronx	40.823963	-73.9302874
City Tamale Inc	1	1316 Oak Point Avenue, Bronx	40.8102546	-73.8846809
CityView	None	901 Sheridan Avenue, Bronx	40.8269114	-73.9209893
Clinton Inn Hotel & Event Center	None	145 Dean Drive, Tenafly	40.922675	-73.964809
Coffee cosina	1	1350 Jerome Avenue, Bronx	40.838998	-73.918333
Community Kitchen-West Harlem	None	252 West 116th Street, New York	40.8039429	-73.954989
Connolly's	2	121 West 45th Street, New York	40.7573681	-73.9835798
Corner Social	2	321 Malcolm X Boulevard, New York	40.80867	-73.9452014
Costco Food Court	1	517 East 117th Street, New York	40.7955594	-73.9305048
Court Deli	2	96 East 161 Street, Bronx	40.8270316	-73.9244796
Crown Diner	1	79 East 161 Street, Bronx	40.827804	-73.924911
Crown Fried Chicken	1	921 Prospect Avenue, Bronx	40.821851	-73.9009287
Crown Fried Chicken	1	2333 1st Avenue, New York	40.7984572	-73.9339198
Daisy's Pizza	1	3075 3rd Avenue, Bronx	40.821014	-73.912657
Dallas BBQ	2	3956 Broadway, New York	40.8396572	-73.940451
Daniel	4	60 East 65th Street, New York	40.7668083	-73.9675769
Danny's Delish Word Pizza	None	113 East 125th Street, New York	40.805003	-73.938056
David's	3	New York	40.7984058	-73.9334477
Deilines	1	1544 East 174th Street, Bronx	40.8341781	-73.8789634
Del Frisco's Double Eagle Steakhouse	4	1221 6th Avenue, New York	40.7594099	-73.98222
Di Fara Pizza	3	1424 Avenue J, Brooklyn	40.6250267	-73.9615228
Dinosaur Bar-B-Que	2	700 West 125th Street, New York	40.8180137	-73.9608451
Domino's Pizza	1	41 East 167th Street, Bronx	40.8358728	-73.9209907
Domino's Pizza	1	1351 Webster Avenue, Bronx	40.835338	-73.908214
Domino's Pizza	1	2075 Jerome Avenue, Bronx	40.8545415	-73.9070365
Domino's Pizza	1	921 East Tremont Avenue Ste A, Bronx	40.8419492	-73.8836145
Domino's Pizza	1	2554 Adam Clayton Powell Junior Boulevard, New York	40.8235759	-73.9380415
Domino's Pizza	1	3025 3rd Avenue, Bronx	40.8198258	-73.9135956
Domino's Pizza	1	220 East 161 Street Ste C, Bronx	40.8249049	-73.9205069
Domino's Pizza	1	153 East 116th Street, New York	40.7986495	-73.9411238
Don Pancho's	2	43 Bruckner Boulevard, Bronx	40.8068737	-73.9270298
Dos Caminos	2	675 Hudson Street, New York	40.7404331	-74.0054753
Doughnut Plant	2	379 Grand Street, New York	40.7163226	-73.9886495
Dragon Sea	1	703 East 180th Street, Bronx	40.8481185	-73.8885196
Dunkin'	1	26 West Burnside Avenue, Bronx	40.8536654	-73.9088392
