,Name,BoroCD,lat,long,American Human Development Index (Community District),Extreme Housing Burden (% of renters),Poverty (% in households with incomes below poverty)
Bronx CD 001,Mott Haven and Melrose,201,40.812197,-73.916132,3.522949823,31.893193087,42.454070840
Bronx CD 002,Hunts Point and Longwood,202,40.811969,-73.882016,3.772949823,37.403890468,38.083242745
Bronx CD 003,Morrisania and Crotona,203,40.831163,-73.902475,3.542770086,32.331719638,39.005303886
Bronx CD 004,Highbridge and Concourse,204,40.836033,-73.921027,4.085939859,39.170852707,35.352331130
Bronx CD 005,Fordham and University Heights,205,40.863496,-73.899778,3.657180725,40.550633417,39.697615043
Bronx CD 006,Belmont and East Tremont,206,40.850026,-73.887367,3.709436753,39.539147739,40.474480213
Bronx CD 007,Kingsbridge Heights and Bedford,207,40.887391,-73.905011,4.043900275,37.055079781,31.137282480
Bronx CD 008,Riverdale and Fieldston,208,40.903935,-73.90441,5.677945477,28.153402669,17.589434947
Bronx CD 009,Parkchester and Soundview,209,40.824549,-73.860283,4.722527831,32.777602265,27.747901435
Bronx CD 010,Throgs Neck and Co-op City,210,40.874542,-73.829622,6.372101566,26.621320995,12.059134003
Bronx CD 011,Morris Park and Bronxdale,211,40.861236,-73.852228,5.399949405,32.101886679,19.560425834
Bronx CD 012,Williamsbridge and Baychester,212,40.887975,-73.854031,5.199658550,34.759431943,18.980952177
Brooklyn CD 001,Greenpoint and Williamsburg,301,40.727054,-73.950969,7.236083333,27.084649925,26.735656899
Brooklyn CD 002,Fort Greene and Brooklyn Heights,302,40.691855,-73.980817,8.292272320,18.574355274,15.548106090
Brooklyn CD 003,Bedford Stuyvesant,303,40.688797,-73.941137,5.718633550,29.175459703,25.629185723
Brooklyn CD 004,Bushwick,304,40.696671,-73.917806,5.062088585,33.466505621,26.401477155
Brooklyn CD 005,East New York and Starrett City,305,40.667772,-73.877697,4.905490358,34.015417440,27.436434905
Brooklyn CD 006,Park Slope and Carroll Gardens,306,40.676169,-73.98244,8.589370575,16.633256098,11.344185807
Brooklyn CD 007,Sunset Park,307,40.646154,-74.006212,5.524411442,29.772991020,22.836381980
Brooklyn CD 008,Crown Heights and Prospect Heights,308,40.675453,-73.946889,6.456742149,26.869062621,22.570544510
