CHRISTIAN PENTACOSTAL CHURCH,Food Pantry,"900 Richmond Rd, Staten Island, NY 10304, USA",40.6048583,-74.0920303,None
Christ Apostolic Church WOSEM Citadel of God Almighty,Food Pantry,"442 E 183rd St, Bronx, NY 10457, USA",40.8555793,-73.8941869,None
"CHURCH AVENUE MERCHANTS BLOCK ASSOC., INC/CAMBA FOOD PANTRY",Food Pantry,"1720 Church Ave, Brooklyn, NY 11226, USA",40.6490908,-73.9633697,None
CHURCH OF GOD OF SALVATION,Food Pantry,"1615 Nostrand Ave., Brooklyn, NY 11226, USA",40.6466741,-73.9488895,None
"CHURCH OF GOD, INC.",Food Pantry,"1011 Winthrop St, Brooklyn, NY 11212, USA",40.6602648,-73.9261148,None
Christina Home Care Food Pantry,Food Pantry,"120-13 Liberty Ave, Queens, NY 11419, USA",40.6870025,-73.8227417,None
CHURCH OF THE ATONEMENT FOOD PANTRY,Food Pantry,,-,-,None
CITY HARVEST - MARINER'S HARBOR MOBILE MARKET,Food Pantry,"22 Roxbury St, Staten Island, NY 10303, USA",40.6328169,-74.1628204,None
THE COMMUNITY FOOD PANTRY,Food Pantry,"1363 Ogden Ave, Bronx, NY 10452, USA",40.8417038,-73.9249297,None
"EVERY DAY IS A MIRACLE, INC",Food Pantry,"2427 Morris Ave, Bronx, NY 10468, USA",40.8613146,-73.900376,None
"UNIVERSITY COMMUNITY SOCIAL SERVICES, INC",Food Pantry,"137 E 2nd St, New York, NY 10009, USA",40.7230138,-73.9863775,None
UJC OF THE EAST SIDE,Food Pantry,"15-17 Willett St, New York, NY 10002, USA",40.7158448,-73.9832935,None
CITY HARVEST - STAPLETON MOBILE MARKET,Food Pantry,"75 Hill St, Staten Island, NY 10304, USA",40.6221226,-74.0805633,None
CITY HARVEST MOBILE MARKET - DYCKMAN HOUSES,Food Pantry,"Nagle Ave, New York, NY, USA",40.8613366,-73.9255976,None
CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES,Food Pantry,"10-25 41st Ave, Queens, NY 11101, USA",40.7555154,-73.9445939,None
COMMUNITY SERVICES HOUSING DEVELOPMENT CORP.,Food Pantry,"547 Howard Ave, Brooklyn, NY 11212, USA",40.6690096,-73.9198204,None
New York City Relief,Food Pantry,"227 Bowery, New York, NY 10002, USA",40.7220889,-73.9931083,None
Catholic Charities St. John's Food Pantry,Food Pantry,"333 Hart St, Brooklyn, NY 11206, USA",40.6948489,-73.9363695,None
City Harvest Bed-Stuy Mobile Market,Food Pantry,"Throop Ave, Brooklyn, NY, USA",40.6923678,-73.9428128,None
